team,assists,denies,first_blood,gpm,healing,hero_damage,is_radiant,kills,last_hits,match_duration,radiant_winner,total_levels,tower_damage,xpm
Newbee,61.94444444444444,46.22222222222222,102.11111111111111,2156.6666666666665,4489.0,77414.61111111111,0.16666666666666666,28.11111111111111,1018.5,2507.222222222222,0.3888888888888889,102.44444444444444,10311.333333333334,2437.3888888888887
No Bounty Hunter,75.11111111111111,45.44444444444444,113.66666666666667,2116.1111111111113,5804.333333333333,105843.55555555556,0.8888888888888888,32.55555555555556,1001.3333333333334,2620.4444444444443,0.5555555555555556,106.88888888888889,7726.555555555556,2542.0
OG,56.1875,37.5,72.125,2074.25,5650.875,87067.875,0.75,26.9375,822.625,2256.1875,0.8125,94.0625,9782.125,2279.8125
OpTic Gaming,60.13333333333333,56.93333333333333,116.93333333333334,2106.6666666666665,4755.333333333333,80003.06666666667,0.6666666666666666,28.4,844.6,2227.133333333333,0.5333333333333333,98.13333333333334,10055.2,2404.266666666667
PSG.LGD,60.1875,41.0625,89.375,2270.875,5681.25,85886.3125,0.375,30.9375,985.5,2296.1875,0.4375,102.875,12340.375,2585.125
SK-_-'iter,69.35714285714286,32.42857142857143,83.5,2007.0714285714287,5272.0,92990.71428571429,0.21428571428571427,31.857142857142858,780.1428571428571,2274.0,0.35714285714285715,98.71428571428571,7402.642857142857,2459.9285714285716
TNC Predator,50.0,37.375,121.3125,2110.1875,2754.9375,84059.0625,0.75,23.5,1041.4375,2572.375,0.4375,100.0,8377.5,2262.625
Team Empire,44.666666666666664,49.833333333333336,159.33333333333334,1936.5,1018.5,75791.0,0.3333333333333333,21.333333333333332,966.5,2608.3333333333335,1.0,97.0,8854.0,2084.3333333333335
Team Liquid,74.0625,41.0,91.3125,2245.375,8481.125,99061.75,0.625,35.0625,818.25,2292.375,0.5625,102.6875,13349.6875,2629.125
Team Secret,65.75,45.625,87.875,2071.0,5217.0625,89171.875,0.75,28.0,923.1875,2455.125,0.625,98.5625,8964.1875,2307.0
Team Serenity,48.13333333333333,43.666666666666664,99.8,1991.8666666666666,1728.5333333333333,68788.2,0.2,24.266666666666666,786.4666666666667,2018.8666666666666,0.5333333333333333,88.8,7914.866666666667,2272.8
Team Singularity,60.0,51.166666666666664,87.0,1947.1666666666667,7169.0,87426.33333333333,0.5,27.666666666666668,910.1666666666666,2548.0,0.5,98.33333333333333,7625.5,2282.8333333333335
The Final Tribe,49.75,35.75,153.25,1871.0,4498.75,96378.25,0.25,23.5,880.5,2559.25,0.75,99.25,4182.75,2173.0
VGJ Storm,66.1875,49.25,117.3125,2287.9375,6670.625,85310.9375,0.75,29.0,1033.625,2393.6875,0.625,101.875,12943.3125,2500.5
VGJ Thunder,59.53333333333333,32.06666666666667,99.4,2032.0666666666666,6497.533333333334,80090.6,0.4666666666666667,26.6,834.1333333333333,2216.8,0.6666666666666666,94.73333333333333,8327.666666666666,2325.2
Vega Squadron,70.21428571428571,46.214285714285715,128.21428571428572,2253.8571428571427,3233.4285714285716,96108.85714285714,0.42857142857142855,33.57142857142857,1002.1428571428571,2486.214285714286,0.21428571428571427,102.0,11672.357142857143,2525.285714285714
Vici Gaming,47.666666666666664,37.666666666666664,91.13333333333334,1891.9333333333334,7296.466666666666,68626.0,0.4666666666666667,22.4,829.1333333333333,2266.5333333333333,0.8,95.13333333333334,6199.266666666666,2273.3333333333335
Virtus.pro,68.8,48.266666666666666,107.06666666666666,2183.133333333333,5268.8,78398.13333333333,0.3333333333333333,31.133333333333333,879.0666666666667,2373.0666666666666,0.2,101.4,11050.133333333333,2506.5333333333333
Wind and Rain,64.35714285714286,56.214285714285715,120.14285714285714,2238.0714285714284,4746.571428571428,94029.92857142857,0.5714285714285714,32.285714285714285,920.3571428571429,2335.9285714285716,0.7142857142857143,98.78571428571429,12460.714285714286,2480.785714285714
Winstrike,48.111111111111114,41.44444444444444,90.16666666666667,1944.111111111111,3047.6111111111113,75184.16666666667,0.5555555555555556,22.833333333333332,790.7222222222222,2165.777777777778,0.6666666666666666,90.16666666666667,7931.944444444444,2180.1666666666665
paiN Gaming,55.357142857142854,44.5,140.14285714285714,2129.6428571428573,2517.9285714285716,87137.21428571429,0.42857142857142855,26.428571428571427,964.5,2520.9285714285716,0.5,103.0,7536.928571428572,2418.1428571428573
