"dmg_dealt","match_id","start_time","win","hero_id","account_id","leaguename"
73630,3941740660,1528536467,true,106,116585378,"CHINA DOTA2 SUPER MAJOR"
73028,3597234172,1512313805,true,113,116585378,"DreamLeague season 8"
72127,3597031137,1512307524,true,23,116585378,"DreamLeague season 8"
67364,3552694103,1510265401,true,9,116585378,"DreamLeague season 8"
64551,3941740660,1528536467,true,12,97590558,"CHINA DOTA2 SUPER MAJOR"
58519,3810667407,1522566554,false,80,97590558,"Dota 2 Asia Championships 2018"
57362,3510438236,1508408841,false,113,97590558,"PGL DOTA2 OPEN"
54285,3499441200,1507905584,false,98,97590558,"SL i-League Invitational Season 3"
53402,3698141876,1516865203,true,74,116585378,"ESL One Genting 2018"
52718,3941740660,1528536467,true,103,89117038,"CHINA DOTA2 SUPER MAJOR"
48920,3941740660,1528536467,true,101,87278757,"CHINA DOTA2 SUPER MAJOR"
48622,3930343388,1528006754,true,72,116585378,"CHINA DOTA2 SUPER MAJOR"
48468,3889125363,1526288028,false,47,116585378,"MDL Changsha"
48330,3552694103,1510265401,true,48,97590558,"DreamLeague season 8"
48138,3499441200,1507905584,false,73,116585378,"SL i-League Invitational Season 3"
47989,3452281745,1505762215,true,109,116585378,"SL i-League Invitational Season 3"
47608,3930343388,1528006754,true,101,89117038,"CHINA DOTA2 SUPER MAJOR"
47398,3891494975,1526378382,true,46,116585378,"MDL Changsha"
46089,3463234143,1506251079,true,40,97590558,"ESL One Hamburg 2017"
45899,3597031137,1512307524,true,63,97590558,"DreamLeague season 8"
45673,3499441200,1507905584,false,108,86799300,"SL i-League Invitational Season 3"
44632,3463978369,1506273792,true,40,116585378,"ESL One Hamburg 2017"
44527,3878503547,1525933604,true,81,97590558,"GESC: Thailand"
44438,3461724849,1506187079,true,15,116585378,"SL i-League Invitational Season 3"
44312,3460824358,1506161547,true,106,116585378,"ESL One Hamburg 2017"
44239,3552551775,1510256101,true,17,116585378,"DreamLeague season 8"
44114,3810667407,1522566554,false,25,116585378,"Dota 2 Asia Championships 2018"
43668,3589319310,1511969219,true,94,116585378,"Galaxy Battles: Emerging Worlds"
42918,3499441200,1507905584,false,51,89117038,"SL i-League Invitational Season 3"
42862,3549079813,1510083900,true,22,89117038,"DreamLeague season 8"
42849,3891064693,1526361344,false,106,116585378,"MDL Changsha"
42357,3941740660,1528536467,true,9,86799300,"CHINA DOTA2 SUPER MAJOR"
41945,3888578614,1526263448,true,72,116585378,"MDL Changsha"
41931,3889125363,1526288028,false,2,86799300,"MDL Changsha"
41837,3597234172,1512313805,true,29,86799300,"DreamLeague season 8"
41516,3768665017,1520431040,true,11,116585378,"PGL BUCHAREST MAJOR 2018"
41243,3589523352,1511977284,true,34,116585378,"Galaxy Battles: Emerging Worlds"
41220,3552551775,1510256101,true,29,86799300,"DreamLeague season 8"
40823,3513925951,1508569304,true,40,86799300,"PGL DOTA2 OPEN"
40293,3941422211,1528524417,true,106,116585378,"CHINA DOTA2 SUPER MAJOR"
40133,3457352376,1506006345,false,43,116585378,"SL i-League Invitational Season 3"
39392,3891494975,1526378382,true,69,86799300,"MDL Changsha"
39028,3747355056,1519318831,true,17,116585378,"ESL One Katowice 2018 powered by Intel"
38947,3572696340,1511179235,true,15,97590558,"Perfect World Masters"
38938,3930496811,1528012291,true,113,97590558,"CHINA DOTA2 SUPER MAJOR"
38762,3597031137,1512307524,true,103,89117038,"DreamLeague season 8"
38545,3461724849,1506187079,true,109,97590558,"SL i-League Invitational Season 3"
38409,3461600560,1506183233,true,45,116585378,"SL i-League Invitational Season 3"
37559,3930496811,1528012291,true,101,89117038,"CHINA DOTA2 SUPER MAJOR"
37213,3854315649,1524899468,true,49,116585378,"EPICENTER XL"
36899,3595192440,1512231377,false,94,116585378,"DreamLeague season 8"
36847,3463234143,1506251079,true,45,116585378,"ESL One Hamburg 2017"
36818,3889125363,1526288028,false,54,97590558,"MDL Changsha"
36711,3589319310,1511969219,true,19,97590558,"Galaxy Battles: Emerging Worlds"
36476,3747238582,1519313911,false,34,116585378,"ESL One Katowice 2018 powered by Intel"
36351,3805633343,1522324650,true,102,86799300,"Dota 2 Asia Championships 2018"
36293,3597031137,1512307524,true,29,86799300,"DreamLeague season 8"
35714,3457352376,1506006345,false,98,97590558,"SL i-League Invitational Season 3"
35616,3883220784,1526097476,true,67,97590558,"GESC: Thailand"
35597,3501629071,1507994106,true,49,116585378,"SL i-League Invitational Season 3"
35527,3810667407,1522566554,false,102,86799300,"Dota 2 Asia Championships 2018"
35261,3878503547,1525933604,true,114,116585378,"GESC: Thailand"
35214,3941422211,1528524417,true,45,86799300,"CHINA DOTA2 SUPER MAJOR"
35071,3932294528,1528090107,true,113,97590558,"CHINA DOTA2 SUPER MAJOR"
35022,3794784138,1521746999,true,15,97590558,"Corsair DreamLeague season 9"
34819,3806938549,1522394206,true,102,86799300,"Dota 2 Asia Championships 2018"
34620,3701923243,1517042134,false,51,89117038,"ESL One Genting 2018"
33806,3463978369,1506273792,true,1,97590558,"ESL One Hamburg 2017"
33755,3932294528,1528090107,true,101,89117038,"CHINA DOTA2 SUPER MAJOR"
33594,3860228898,1525169128,true,76,116585378,"EPICENTER XL"
33189,3799989013,1521992204,true,99,97590558,"Corsair DreamLeague season 9"
33066,3595326728,1512235717,true,54,97590558,"DreamLeague season 8"
33019,3891386864,1526374629,true,15,116585378,"MDL Changsha"
32963,3548897559,1510075501,true,34,116585378,"DreamLeague season 8"
32795,3548993847,1510079707,false,47,116585378,"DreamLeague season 8"
32739,3889323628,1526294713,true,98,116585378,"MDL Changsha"
32616,3878299774,1525925288,true,106,116585378,"GESC: Thailand"
32506,3876216637,1525848867,false,34,116585378,"GESC: Thailand"
32498,3930496811,1528012291,true,114,116585378,"CHINA DOTA2 SUPER MAJOR"
32118,3805633343,1522324650,true,8,97590558,"Dota 2 Asia Championships 2018"
