"xp_per_min","tower_damage","kills","hero_healing","hero_damage","gold_per_min","assists","deaths","dmg_dealt","last_hits","match_id","start_time","win","hero_id","account_id","leaguename"
603,7298,7,0,15151,730,8,0,15151,192,2771818655,1478896614,true,74,111620041,"Northern Arena BEAT Invitational presented by Bell"
603,849,10,10278,48095,555,21,7,48095,740,3208760234,1495949769,true,17,111620041,"Masters Manila 2017"
602,5963,9,0,32233,622,14,10,32233,366,2752216887,1478120731,false,74,111620041,"Dota Pit League Season Five"
601,3056,5,0,16208,618,11,5,16208,192,3138877020,1493105563,true,74,111620041,"Kiev Major"
601,1747,10,0,38560,908,17,5,38560,581,2833537989,1481298077,true,73,111620041,"The Boston Major 2016"
600,3732,12,0,31710,600,7,3,31710,304,2772035803,1478909158,false,11,111620041,"Northern Arena BEAT Invitational presented by Bell"
600,432,13,0,26673,546,8,5,26673,318,3364482110,1502247077,false,13,111620041,"The International 2017"
594,3366,10,0,28052,638,12,1,28052,295,2683495393,1475404136,true,17,111620041,"MarsTV Dota 2 League 2016"
594,289,15,1081,55796,639,16,6,55796,390,3299636632,1499484254,true,22,111620041,"2017 Mars Dota 2 League"
590,1787,6,0,10031,603,6,0,10031,165,3355980143,1501876485,true,9,111620041,"The International 2017"
585,2568,10,0,22685,544,10,3,22685,283,3238049423,1497089447,true,76,111620041,"EPICENTER: Moscow Season 2"
581,8461,11,0,26492,988,14,1,26492,317,2682989099,1475389577,true,73,111620041,"MarsTV Dota 2 League 2016"
579,717,1,0,10529,810,1,7,10529,274,3081124433,1490613174,false,73,111620041,"Dota 2 Asia Championships 2017"
579,205,4,0,13157,542,8,3,13157,249,2932646436,1485109622,false,9,111620041,"Dota Pit League Season Five"
577,3446,14,0,55084,632,8,4,55084,538,3148721353,1493551978,false,43,111620041,"Kiev Major"
568,2849,4,0,20678,535,6,6,20678,286,2823803700,1480900835,false,8,111620041,"The Boston Major 2016"
565,50,11,0,36747,522,13,8,36747,393,3295677794,1499315567,false,68,111620041,"2017 Mars Dota 2 League"
