"tower_damage","kills","hero_damage","gold_per_min","denies","deaths","dmg_received","dmg_dealt","xp_per_min","assists","match_id","start_time","win","hero_id","account_id","leaguename"
3500,7,7767,526,18,2,9879,9384,408,6,1892182579,1445791813,true,81,92423451,"StarLadder | i-League"
3431,3,13897,440,27,6,23070,14416,636,12,3540681433,1509738136,false,78,92423451,"AMD SAPPHIRE Dota PIT"
3379,3,6232,593,5,1,4148,7501,541,7,2152400343,1455472693,true,6,92423451,"Dota Pit League Season Four"
3366,11,11236,598,10,1,7572,12696,554,13,1886935076,1445621738,true,18,92423451,"ASUS ROG DreamLeague Season 4"
3310,4,27812,456,4,6,17840,27812,649,17,3465827554,1506358884,true,40,92423451,"AMD SAPPHIRE Dota PIT"
3285,0,9181,461,7,7,12606,9181,401,8,3563931981,1510775402,false,53,92423451,"DreamLeague season 8"
3236,23,29472,689,3,3,11246,38998,758,16,2109084419,1453915192,true,67,92423451,"WePlay League Season 3"
3222,1,6304,405,0,3,6633,6304,372,13,2730344894,1477241988,true,38,92423451,"Dota Pit League Season Five"
3219,15,21412,577,10,5,22053,32915,698,14,2367697814,1463411226,true,70,92423451,"The Summit 5"
3208,10,16626,524,10,5,18225,24338,549,11,1933638419,1447451253,true,12,92423451,"The Frankfurt Major 2015"
3197,4,7848,369,6,1,8900,7848,400,14,3773545008,1520676940,true,89,92423451,"PGL BUCHAREST MAJOR 2018"
3174,11,13111,505,22,3,13399,17625,541,5,1910241246,1446500408,true,18,92423451,"The Defense Season 5"
3174,5,5607,521,14,2,5210,6190,440,7,1841061365,1443924372,true,72,92423451,"ESL One at New York Super Week"
3106,9,13799,481,6,3,9794,13799,485,17,2718785428,1476800175,true,38,92423451,"The Summit 5"
3094,11,19870,496,11,5,19122,26238,563,14,1911911315,1446566415,true,70,92423451,"StarLadder | i-League"
3063,6,15042,521,7,0,7642,15042,595,15,3249120421,1497463826,true,63,92423451,"The Summit 5"
3061,4,8302,528,40,0,2869,8909,444,4,1974009775,1449044356,true,72,92423451,"Global eSports Cup LAN Finals Season 1"
3052,8,16386,438,29,4,11599,16386,482,15,3928102591,1527917123,true,38,92423451,"CHINA DOTA2 SUPER MAJOR"
3036,5,11081,545,10,2,13701,13643,607,19,1981265554,1449320959,true,42,92423451,"Global eSports Cup LAN Finals Season 1"
3027,10,10339,698,12,0,4010,8603,545,9,2337528633,1462274450,true,8,92423451,"The Manila Major 2016"
3014,9,14743,437,19,1,18451,14743,613,29,3943365614,1528604858,true,60,92423451,"CHINA DOTA2 SUPER MAJOR"
2968,11,14571,470,13,1,11794,14571,666,15,3915279179,1527343117,true,38,92423451,"ESL One Birmingham 2018 powered by Intel"
2962,2,6448,462,15,5,12654,10467,412,4,2382161553,1463940168,false,6,92423451,"Nanyang Championships Season 2"
2958,3,12336,495,10,3,14031,12336,547,16,4063413580,1534451741,true,112,92423451,"The International 2018"
2951,7,6144,432,6,2,7317,6144,378,11,4062034566,1534376395,true,58,92423451,"The International 2018"
2921,2,6222,427,2,0,5087,6369,428,14,1914506207,1446663684,true,8,92423451,"The Summit 4"
2856,2,15301,353,3,8,11932,15301,440,11,3515124352,1508606536,true,45,92423451,"Uprise Champions Cup: Special"
2747,7,22711,494,0,5,22527,40551,544,19,1971360796,1448917582,true,67,92423451,"Global eSports Cup LAN Finals Season 1"
2717,8,8828,651,3,5,12091,9529,656,10,2128537550,1454626104,true,52,92423451,"Dota Pit League Season Four"
2696,6,6749,658,15,0,3505,7408,524,2,2126100455,1454532450,true,10,92423451,"Dota Pit League Season Four"
2672,4,9694,407,1,1,16001,9694,449,11,3137907375,1493047660,true,104,92423451,"Kiev Major"
2641,3,8809,454,6,3,8696,8809,501,10,3625490002,1513563501,true,38,92423451,"Dota Summit 8"
2598,6,10303,599,13,0,4945,10991,560,12,1829791286,1443542849,true,72,92423451,"Nanyang Championships"
2590,9,11943,516,14,1,8402,13229,554,10,1892076970,1445788864,true,18,92423451,"StarLadder | i-League"
2571,2,5281,421,0,4,8019,5281,456,18,2719361223,1476820713,true,38,92423451,"The Summit 5"
2539,4,12987,422,9,3,9735,12987,566,22,3941931884,1528543620,true,38,92423451,"CHINA DOTA2 SUPER MAJOR"
2505,7,17897,518,7,5,11322,18284,557,21,1974091429,1449047707,true,72,92423451,"Global eSports Cup LAN Finals Season 1"
2496,8,17692,472,2,8,27711,22365,516,16,1880833167,1445371911,true,70,92423451,"ASUS ROG DreamLeague Season 4"
2462,11,12770,502,7,4,8891,15204,576,10,1887095532,1445626825,true,56,92423451,"ASUS ROG DreamLeague Season 4"
2432,4,10084,477,18,4,16173,16901,546,14,1970848730,1448897817,true,18,92423451,"Global eSports Cup LAN Finals Season 1"
2428,10,16155,562,21,5,22920,23150,538,15,1939257187,1447668231,false,106,92423451,"The Frankfurt Major 2015"
2404,10,10536,554,10,4,8107,13312,417,7,2294811244,1460658000,false,72,92423451,"The BTS Series"
2402,8,12630,505,5,5,13291,16817,565,16,1868806765,1444932013,true,106,92423451,"The Summit 4"
2400,15,25303,627,8,6,23804,25303,640,21,3808843431,1522485175,true,69,92423451,"Dota 2 Asia Championships 2018"
2388,12,14348,536,3,4,17890,17265,579,15,1866636836,1444844082,true,18,92423451,"ASUS ROG DreamLeague Season 4"
2386,9,11460,455,7,5,25251,16700,524,15,1832469058,1443634700,true,28,92423451,"Nanyang Championships"
2385,8,12578,434,1,2,7021,11949,395,10,2275034976,1459883188,true,59,92423451,"The BTS Series"
2368,5,23175,499,10,2,9488,23175,647,13,3354286673,1501808227,true,40,92423451,"The International 2017"
2358,14,16996,559,9,6,15463,27568,532,17,2290518730,1460476012,true,72,92423451,"The BTS Series"
2356,5,13171,466,6,3,12511,13171,609,16,3530401688,1509304243,true,78,92423451,"ESL One Hamburg 2017"
2355,4,6311,680,11,1,4751,6321,573,3,2142589648,1455126533,true,10,92423451,"ESL One Manila 2016"
2334,7,9131,544,9,1,14260,13421,568,7,2065960306,1452339047,true,77,92423451,"The Shanghai Major"
2306,3,14453,419,7,5,14827,14453,557,16,3540529925,1509732359,true,78,92423451,"AMD SAPPHIRE Dota PIT"
2297,3,24362,350,5,6,17286,24309,553,14,3455271627,1505916092,false,40,92423451,"PGL DOTA2 OPEN"
2267,7,18214,492,8,3,8416,18214,490,9,3592614727,1512130979,true,53,92423451,"DreamLeague season 8"
2238,5,6560,445,1,2,9279,6560,473,14,2897415426,1483692961,true,108,92423451,"ESL One Genting 2017"
2196,9,16491,497,7,5,13115,25850,433,7,1983417752,1449392777,false,72,92423451,"Global eSports Cup LAN Finals Season 1"
2162,24,26899,607,2,11,28545,43811,584,13,2279206088,1460055732,false,18,92423451,"ESL One Frankfurt 2016"
2160,4,31483,417,8,5,20806,31483,569,7,3189457454,1495129500,false,102,92423451,"DreamLeague season 7"
2129,12,14400,529,11,4,17081,23104,594,15,1889351830,1445702785,true,18,92423451,"StarLadder | i-League"
2125,6,27747,639,8,5,19301,27747,658,12,3609602443,1512894725,false,13,92423451,"2017 Mars Dota 2 League"
2072,9,17020,515,9,7,12420,22068,498,13,1909898287,1446485860,true,39,92423451,"ASUS ROG DreamLeague Season 4"
2051,4,9586,542,2,4,4615,9924,492,8,2465649035,1467034180,true,38,92423451,"The International 2016"
2034,6,10482,558,18,5,18541,15270,550,14,1864637911,1444763110,true,69,92423451,"The Defense Season 5"
1988,5,16330,603,6,1,12545,20182,587,19,2064168118,1452272408,true,67,92423451,"The Shanghai Major"
1976,3,2608,566,6,0,222,2629,429,0,2142501236,1455123826,true,8,92423451,"ESL One Manila 2016"
1945,6,12899,556,6,2,9361,15112,505,12,2128484079,1454623017,true,106,92423451,"Dota Pit League Season Four"
1939,6,23475,492,13,4,9762,23540,567,15,3695119172,1516708293,true,13,92423451,"ESL One Genting 2018"
1905,8,11318,490,6,4,15996,16567,509,9,2376356649,1463757561,false,8,92423451,"The Summit 5"
1901,1,9813,390,15,3,12877,9813,504,14,3620742450,1513385500,true,60,92423451,"Dota Summit 8"
1896,9,13126,451,2,2,10584,13126,538,10,3908954812,1527069585,true,38,92423451,"ESL One Birmingham 2018 powered by Intel"
1891,4,5591,527,14,1,3032,4781,436,7,2149706429,1455383911,true,8,92423451,"WePlay League Season 3"
1889,3,9716,406,13,3,6375,9716,459,11,3933892648,1528163971,true,38,92423451,"CHINA DOTA2 SUPER MAJOR"
1878,11,19841,477,2,7,18014,19841,789,16,3576333193,1511364457,false,38,92423451,"D2CL Season 7"
1864,10,38772,513,2,9,16832,38772,676,17,3488799577,1507393740,true,40,92423451,"Uprise Champions Cup: Special"
1861,5,10279,477,5,2,9623,10279,501,11,4063131437,1534435206,true,9,92423451,"The International 2018"
1860,5,13197,501,7,3,8247,13197,657,13,3560337697,1510595875,true,13,92423451,"Dota Summit 8"
1860,3,5891,374,1,4,10697,5891,539,18,3258613234,1497811193,true,38,92423451,"The Summit 5"
1848,9,9232,521,14,1,8019,9785,511,8,1961356945,1448552271,true,18,92423451,"ASUS ROG DreamLeague Season 4"
1838,5,14960,493,9,1,5340,14960,529,7,3574837639,1511283803,true,13,92423451,"D2CL Season 7"
1838,5,8020,458,5,7,16542,13427,546,13,2462991375,1466932940,true,38,92423451,"The International 2016"
1827,3,13504,419,15,7,19906,13504,440,17,3625315335,1513551650,true,49,92423451,"Dota Summit 8"
1802,11,26069,554,13,3,12671,26069,692,18,3744526729,1519161615,true,13,92423451,"ESL One Katowice 2018 powered by Intel"
1796,8,16093,546,1,0,6937,16573,626,12,1932755249,1447420521,true,106,92423451,"The Frankfurt Major 2015"
1796,4,5002,481,9,6,10154,7903,364,5,2337171234,1462262823,false,8,92423451,"The Manila Major 2016"
1777,4,7708,381,3,6,12826,7708,369,3,4066517897,1534608693,false,45,92423451,"The International 2018"
1774,3,7151,494,7,4,12699,10309,545,10,1882787852,1445454536,false,8,92423451,"The Defense Season 5"
